Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Nursing - Center for Health Outcomes & Policy Research,Nursing,Center,Events,https://www.nursing.upenn.edu/chopr/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Nursing - Alumni,Nursing,Alumni,Events & Programs,https://www.nursing.upenn.edu/alumni/events-programs/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Libraries - Cultural centers,University Life,Student life,GIC site,https://gic.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Cultural Resource Center site
La Casa Latina (site),University Life,Student life,Events,https://lacasa.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
LGBT Center (site),University Life,Student life,Events,https://lgbtcenter.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Makuu (site),University Life,Student life,Events,https://makuu.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
PAACH (site),University Life,Student life,Events,https://paach.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Women's Center (site),University Life,Student life,Events,https://pwc.universitylife.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Wharton - Impact Value & Sustainable Business Initiative,Wharton,Initiative,Events HQ,https://impact.wharton.upenn.edu/events-hq/,"WordPress + WPBakery, Salesforce-backed events",Server-rendered HTML; event IDs are Salesforce records (a1W...),none exposed,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),esg.wharton.upenn.edu/events-hq 302-redirects here
Wharton - Zicklin Center for Governance & Business Ethics,Wharton,Center,Center page / events,https://impact.wharton.upenn.edu/centers-labs/zicklin-center/,WordPress + WPBakery,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Normative Business Ethics Workshop
Wharton - Climate Center,Wharton,Center,Center page / events,https://impact.wharton.upenn.edu/centers-labs/climate-center/,WordPress + WPBakery,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Mack Institute for Innovation Management,Wharton,Institute,Events and Programs,https://mackinstitute.wharton.upenn.edu/events-and-programs/,WordPress + WPBakery,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Spring/Fall conferences
Wharton - Zell/Lurie Real Estate Center,Wharton,Center,Calendar,https://realestate.wharton.upenn.edu/calendar/,WordPress 7.1,Server-rendered month grid; list view available,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Also /events/
Wharton - Jay H. Baker Retailing Center,Wharton,Center,Events & Conferences,https://bakerretail.wharton.upenn.edu/home-page/events-conferences/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Stevens Center for Innovation in Finance,Wharton,Center,Events & Conferences,https://stevenscenter.wharton.upenn.edu/events-conferences/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Venture Lab / Entrepreneurship,Wharton,Center,Events,https://entrepreneurship.wharton.upenn.edu/events/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Also venturelab.upenn.edu/venture-lab-events
Wharton - Small Business Development Center,Wharton,Center,Calendar of Events,https://whartonsbdc.wharton.upenn.edu/courses/calendar-of-events/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Rodney L. White Center for Financial Research,Wharton,Center,Events Archive,https://rodneywhitecenter.wharton.upenn.edu/events-hq/,"WordPress, Salesforce-backed events",Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Pension Research Council,Wharton,Center,Conferences,https://pensionresearchcouncil.wharton.upenn.edu/conferences/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Boettner Center at /boettner/
Wharton - People Analytics,Wharton,Center,Events / conference,https://wpa.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Annual People Analytics Conference
Wharton - AI & Analytics Initiative,Wharton,Initiative,Events,https://ai-analytics.wharton.upenn.edu/events/,"WordPress, Salesforce-backed events",Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Centers & labs sub-pages
Wharton - Neuroscience Initiative,Wharton,Initiative,Events HQ,https://neuro.wharton.upenn.edu/events-hq/,"WordPress, Salesforce-backed events",Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Behavior Change for Good Initiative,Wharton,Initiative,Events,https://bcfg.wharton.upenn.edu/events-fall25-spring26/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Finance at Wharton,Wharton,Pillar,Events,https://finance-pillar.wharton.upenn.edu/events/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Finance Department,Wharton,Department,Department Seminars,https://fnce.wharton.upenn.edu/department-information/seminars/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Micro/macro seminar sub-pages
Wharton - Accounting Department,Wharton,Department,Workshops,https://accounting.wharton.upenn.edu/research/workshops/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Conferences at /research/conferences/
Wharton - Operations Information & Decisions (OID),Wharton,Department,Seminars / Conferences,https://oid.wharton.upenn.edu/department-information/seminars-conferences/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Legal Studies & Business Ethics,Wharton,Department,Seminars / Conferences,https://lgst.wharton.upenn.edu/department-information/seminars-conferences-2/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Jacobs Levy Equity Management Center,Wharton,Center,Events,https://jacobslevycenter.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Center for Human Resources,Wharton,Center,Events,https://chr.wharton.upenn.edu/upcoming-events/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Center for Leadership and Change Management,Wharton,Center,Events,https://leadershipcenter.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Fishman-Davidson Center,Wharton,Center,Events,https://fishmandavidson.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Penn Wharton Budget Model,Wharton,Center,Events,https://budgetmodel.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Global Family Alliance,Wharton,Center,Events,https://wgfa.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Sports Analytics & Business Initiative,Wharton,Initiative,Events,https://wsb.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Harris Family Alternative Investments Program,Wharton,Program,Events,https://altinvest.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Future of Finance Initiative,Wharton,Initiative,Events,https://wffi.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wharton - Human-AI Research,Wharton,Initiative,Events,https://ai.wharton.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Penn Wharton China Center,Penn Global,Center,Events,https://global.upenn.edu/pwcc/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Venture Lab,University,Center,Venture Lab Events,https://venturelab.upenn.edu/venture-lab-events,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Career Services,University Life,Student services,Events,https://careerservices.upenn.edu/events/default/,WordPress (uConnect) + Handshake,"Server-rendered HTML, paginated",none exposed; Handshake API for employer events,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Handshake at upenn.joinhandshake.com
Center for Undergraduate Research & Fellowships (CURF),University,Center,Events,https://curf.upenn.edu/events,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Libraries - Workshops (LibCal),Libraries,Library,Monthly calendar - all workshops,https://guides.library.upenn.edu/workshops,Springshare LibCal (embedded),Iframe widget from api3.libcal.com; not in page HTML,"api3.libcal.com/embed_calendar.php?iid=335&cal_id=652,653,654,659...","Springshare LibCal: the page embeds an iframe. Use the LibCal API (api3.libcal.com) or the per-calendar ICS, keyed by cal_id.",Verified (page fetched),Aggregates 15+ branch/department LibCal calendars
Lippincott Library (Business),Libraries,Library,Business workshops (LibCal),https://guides.library.upenn.edu/workshops/businessworkshops,Springshare LibCal,Iframe widget,LibCal API/ICS per cal_id,"Springshare LibCal: the page embeds an iframe. Use the LibCal API (api3.libcal.com) or the per-calendar ICS, keyed by cal_id.",Verified (page fetched),
SNF Paideia Program,University,Program,Events,https://snfpaideia.upenn.edu/engage/events/,WordPress,Server-rendered HTML (often empty between terms),none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Wellness at Penn,University Life,Health,Upcoming Wellness Events and Programs,https://wellness.upenn.edu/events,Drupal 10,Server-rendered HTML + calendar widget,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Campus Recreation,Athletics,Recreation,Penn Rec Portal / offerings,https://recreationwebportal.dria.upenn.edu/,DRIA rec portal (Fusion),JS-rendered portal,none,"Vendor rec portal: JS-rendered, no public feed. Scraping needs a headless browser.",Verified (page fetched),Main site recreation.upenn.edu is SIDEARM
Financial Wellness @ Penn,SRFS,Student services,Events & Deadlines,https://srfs.upenn.edu/financial-wellness/financial-wellness-events-and-deadlines,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Netter Center for Community Partnerships,University,Center,Events,https://www.nettercenter.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Newsletter signup at /get-involved/newsletter
PSOM - Neurology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/neurology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS via Subscribe,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Neurosurgery,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/neurosurgery/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Pediatrics,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/pediatrics/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Pathology & Laboratory Medicine,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/pathology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Grand Rounds series
PSOM - Dermatology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/dermatology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Ophthalmology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/ophthalmology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - OB-Gyn Oncology,Medicine,Division,Events Calendar (LiveWhale group),https://events.med.upenn.edu/gyn-onc/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Genetics,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/genetics/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Microbiology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/microbiology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Also static page at med.upenn.edu/micro
PSOM - Cancer Biology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/cancer-bio/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Graduate Medical Education,Medicine,Office,Events Calendar (LiveWhale group),https://events.med.upenn.edu/gme/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Office of Clinical Research,Medicine,Office,Events Calendar (LiveWhale group),https://events.med.upenn.edu/ocr/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Mahoney Institute for Neurosciences,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/mins/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Penn-CHOP Lung Biology Institute,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/lbi/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Abramson Family Cancer Research Institute,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/afcri/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Main site afcri.upenn.edu
PSOM - Center for Clinical Epidemiology & Biostatistics,Medicine,Center,Events Calendar (LiveWhale group),https://events.med.upenn.edu/cceb/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Institute for Immunology & Immune Health,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/ifi,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Immunology Graduate Group,Medicine,Graduate group,Events Calendar (LiveWhale group),https://events.med.upenn.edu/igg/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Center for Cellular Immunotherapy,Medicine,Center,Events Calendar (LiveWhale group),https://events.med.upenn.edu/cci/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Institute for Translational Medicine & Therapeutics,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/itmat/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Seminars page at itmat.upenn.edu/seminars.html
PSOM - Epigenetics Institute,Medicine,Institute,Upcoming Events,https://hosting.med.upenn.edu/epigenetics/calendar/list/,WordPress + The Events Calendar,Server-rendered HTML,/calendar/list/?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Also LiveWhale group /epigenetics/
PSOM - General Interest,Medicine,School,PSOM General Interest (LiveWhale group),https://events.med.upenn.edu/psomgeneral/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - All Events,Medicine,School,All Events,https://events.med.upenn.edu/all,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Best single entry point for PSOM
Penn Engineering - PRECISE Center,Engineering,Center,Event Listing,https://precise.seas.upenn.edu/events,Drupal 8,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Engineering - GRASP Lab,Engineering,Lab,Seminars,https://www.grasp.upenn.edu/events/category/seminars/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),
Penn Engineering - LRSM,Engineering,Lab,Events,https://www.lrsm.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Singh Center for Nanotechnology,Engineering,Center,Events,https://www.nano.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Warren Center for Network & Data Sciences,Engineering,Center,Events,https://warrencenter.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,VERIFY: /events/ resolved to a single conference page; check warrencenter.upenn.edu for the listing index. 
Penn Engineering - ASSET Center,Engineering,Center,Events,https://asset.seas.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,ASSET Seminar appears on school calendar
Penn Engineering - CEMB,Engineering,Center,Events,https://cemb.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Penn Health-Tech,Engineering,Center,Events,https://healthtech.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - PICS,Engineering,Institute,Events,http://www.pics.upenn.edu/events,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Linguistic Data Consortium,Engineering,Center,Events,https://www.ldc.upenn.edu/,Drupal,Server-rendered HTML,unknown,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - MEAM research centers,Engineering,Department,Research Centers,https://www.me.upenn.edu/research/research-centers/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
SAS - Andrea Mitchell Center for the Study of Democracy,SAS,Center,Events & Workshops,https://amc.sas.upenn.edu/events-workshops,Drupal 7,Server-rendered hub; series sub-pages carry listings,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),"Series: Penn Political Union, Politics on the Edge"
SAS - Middle East Center,SAS,Center,Events,https://mec.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Center for East Asian Studies,SAS,Center,Events,https://ceas.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Center for the Study of Contemporary China,SAS,Center,Events,https://cscc.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Weekly Forums and Conferences sub-pages
SAS - James Joo-Jin Kim Center for Korean Studies,SAS,Center,Events,https://korea.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Center for the Advanced Study of India,SAS,Center,Events,https://casi.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
SAS - Price Lab for Digital Humanities,SAS,Center,Events,https://pricelab.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
